Date,Australian Equities,Developed Market Equities,Emerging Market Equities,Australian Listed Property,Hedge Funds,Australian Fixed Interest,Global Fixed Interest,Cash (Bank bills)
30/01/2015,0.032235899,-0.00546895,0.014204721,0.077553055,0.008069757,0.016103642,0.021772527,0.002514267
27/02/2015,0.069222284,0.058938953,0.03285796,0.036948153,0.010566092,0.002798175,-0.00406052,0.002089733
31/03/2015,-0.000517375,-0.004308328,0.001422553,-0.02114794,0.005989828,0.007597038,0.007842364,0.00205287
30/04/2015,-0.016474947,0.010413134,0.056779763,-0.012240978,0.00021139,-0.011079882,-0.003544238,0.001797223
29/05/2015,0.004287145,0.012676782,-0.025136696,0.031076449,0.008260096,0.000361744,-0.002600923,0.002002633
30/06/2015,-0.053152587,-0.029415306,-0.022568896,-0.042606496,-0.01313583,-0.009256699,-0.010677059,0.001758949
31/07/2015,0.043134149,0.024938859,-0.043573472,0.05724028,0.008726282,0.013000126,0.012109177,0.001803621
31/08/2015,-0.076977349,-0.066538112,-0.064901233,-0.041343129,-0.01988103,0.006370799,-0.000985148,0.001809436
30/09/2015,-0.028578776,-0.035493693,-0.017110589,-0.003178969,-0.014089802,0.002500228,0.007530874,0.001761852
30/10/2015,0.044204664,0.078740742,0.054244963,0.050290407,0.005266121,0.002991766,0.004910468,0.001891078
30/11/2015,-0.006816558,0.006406706,-0.026875626,-0.028834052,0.002041222,-0.00875928,0.002037108,0.001667044
31/12/2015,0.027280748,-0.021574593,-0.010709266,0.037502481,-0.00849077,0.003328333,-0.000957733,0.001915502
29/01/2016,-0.054497287,-0.0541461,-0.052235829,0.013154967,-0.014108834,0.012222081,0.016516912,0.002010061
29/02/2016,-0.017247141,-0.015335762,0.000646809,0.030198769,-0.010843707,0.010343394,0.010917522,0.001778832
31/03/2016,0.047761546,0.052654698,0.083271559,0.023666249,0.002852509,-0.002131885,0.00924746,0.001980637
29/04/2016,0.033397645,0.008588477,-0.000774293,0.027236558,0.003383529,0.002587193,0.003080527,0.001989492
31/05/2016,0.031363232,0.017612128,-0.008056987,0.025977352,0.003575928,0.012560537,0.005662268,0.001935106
30/06/2016,-0.024422295,-0.013158356,0.015927127,0.036565074,-0.001015416,0.013268511,0.01975972,0.001648413
29/07/2016,0.06359227,0.041197529,0.042366923,0.054203732,0.011458141,0.007353786,0.007020853,0.001730152
31/08/2016,-0.015568544,0.004207264,0.027594422,-0.027465834,0.004659236,0.004218323,0.00054255,0.001689272
30/09/2016,0.005143423,0.001949283,0.004425808,-0.042959194,0.001236701,-0.002248139,0.000704754,0.001415932
31/10/2016,-0.021747938,-0.006691599,0.00613517,-0.077123381,-0.001780103,-0.012763934,-0.009039755,0.001461204
30/11/2016,0.028049528,0.026340821,-0.021792919,0.007570945,0.003639341,-0.014399445,-0.016258339,0.001445476
30/12/2016,0.043404401,0.027760819,0.001396843,0.06966447,0.009627414,-0.00171563,0.00355408,0.001451317
31/01/2017,-0.007746822,0.012872112,0.039720134,-0.050279617,0.007003556,0.006119101,-0.00257078,0.001569961
28/02/2017,0.021831326,0.03096529,0.016822334,0.040778626,0.009665454,0.001719971,0.009147521,0.001344434
31/03/2017,0.03275264,0.009639199,0.019325485,0.006156897,0.003938677,0.004411182,0.000252605,0.001501519
28/04/2017,0.009827563,0.011524789,0.023253852,0.026299559,0.004310269,0.00751432,0.007406379,0.001485058
31/05/2017,-0.027431483,0.014820723,0.024617841,-0.011156023,0.00818064,0.01165341,0.006418545,0.001487434
30/06/2017,0.002205322,0.00022655,0.016389195,-0.049805971,-0.004882456,-0.008977604,-0.002163341,0.001433035
31/07/2017,0.000140564,0.014316193,0.048892305,0.000907554,0.013654142,0.002479124,0.003652579,0.001457462
31/08/2017,0.007493561,0.001480552,0.021086256,0.008713905,0.005873842,-5.89045E-05,0.009570695,0.001420817
29/09/2017,0.000352627,0.02320498,0.004439211,0.006578947,-0.001524103,-0.003113929,-0.004330935,0.001416115
31/10/2017,0.040153528,0.025419269,0.038914669,0.021063401,0.012811717,0.010946793,0.004652466,0.001468039
30/11/2017,0.016934499,0.015734017,-0.008226449,0.051463752,0.000999103,0.008695304,0.00188684,0.001332325
29/12/2017,0.01858839,0.01103173,0.025629724,0.004492999,0.00908445,-0.005202163,0.002389996,0.001433064
31/01/2018,-0.003911134,0.037655408,0.067683835,-0.030899536,0.02712535,-0.002676603,-0.006850518,0.001558502
28/02/2018,0.003381364,-0.035311409,-0.038696149,-0.032971358,-0.021234923,0.002932019,-0.002307965,0.001337854
30/03/2018,-0.037255784,-0.023093274,-0.018713506,0.000507902,-0.000633692,0.008423,0.008356426,0.001382872
30/04/2018,0.037784634,0.019407783,0.011649342,0.045750566,0.000517287,-0.00346698,-0.003832657,0.001640619
31/05/2018,0.011933706,0.012712168,-0.022151793,0.030226658,0.00275188,0.006859828,0.003683349,0.001726683
29/06/2018,0.031876085,0.003293658,-0.024648398,0.019544815,-0.002295256,0.004771999,0.001660592,0.001513912
31/07/2018,0.013058057,0.031457048,0.016947167,0.009034276,0.00360084,0.001595099,0.000178408,0.001902861
31/08/2018,0.014032746,0.013389377,-0.005498765,0.03565356,0.001245806,0.008111151,0.002926546,0.001674212
